time_ms_loc,z,y,x
41219147.0,0.1629155725240707,0.42739660739898677,-0.3911965906620025
41219180.0,0.11757381167262787,0.7821794301271439,-0.35886418446898455
41219213.0,-0.004863851796835586,0.5732511818408966,-0.09828235730528823
41219247.0,-0.01027104053646324,0.41419450044631956,-0.1026348829269409
41219280.0,0.06016489583998917,0.4329522997140884,-0.1461030133068561
41219314.0,0.0447588339447975,0.2689191699028015,-0.02271498180925839
41219347.0,0.020417596492916287,0.16814829930663103,-0.04223561256658285
41219381.0,0.03275072202086445,0.10488962121307846,-0.08048769589513532
41219414.0,0.0311837755143642,0.1065634563565254,-0.0130201317369937
41219448.0,-0.00478702858090399,0.07860501930117605,-0.0003976300824433919
41219481.0,-0.01046092746546489,0.022120839823037343,-0.021412785071879575
41219515.0,0.00035804276121782503,0.09444366656243795,-0.01233219946734599
41219548.0,0.04166277237236492,0.12153782546520227,0.033812292106449565
41219581.0,0.04878655709326265,0.06934791468083855,0.021906284056603883
41219615.0,0.0176278172060847,0.059563484601676445,-0.05550231467932462
41219648.0,0.02649961877614254,0.10097149834036823,-0.057194065302610335
41219682.0,0.0018385574221611006,0.0811255559325218,-0.07496344596147533
41219715.0,-0.03856426877900954,0.12314680740237229,-0.1296720784157514
41219749.0,0.02101830719038842,0.2187060564756393,-0.04085259512066835
41219782.0,0.052721659839153216,0.15124242901802062,-0.024743378907442062
41219815.0,0.02191771585494278,0.20572599321603768,-0.054138342291116665
41219849.0,0.03333693183958522,0.20990519225597376,-0.06559497304260725
41219882.0,0.001882290281355399,0.02812518924474712,-0.0610018171370029
41219916.0,-0.02362264897674319,0.0407242245972156,-0.0754575185477733
41219949.0,-0.04202762525528665,0.018966822884976826,-0.07037297450006003
41219983.0,-0.03210161272436378,0.05481006819754837,-0.04799652751535171
41220016.0,-0.04922726899385443,0.08441760092973702,-0.03143140152096744
41220050.0,-0.04435233622789376,0.09131454080343243,-0.0041298674419522
41220083.0,-0.020227683149278135,0.12432516962289805,-0.003189627185929545
41220117.0,-0.03547154292464254,0.04390151500701898,0.014711500518023961
