frame_id,timestamp_ns,time_ms_loc
6012,1749115619147117000,41219147
6013,1749115619180512000,41219180
6014,1749115619213825000,41219213
6015,1749115619247471000,41219247
6016,1749115619280809000,41219280
6017,1749115619314280000,41219314
6018,1749115619347752000,41219347
6019,1749115619381070000,41219381
6020,1749115619414619000,41219414
6021,1749115619448074000,41219448
6022,1749115619481536000,41219481
6023,1749115619515186000,41219515
6024,1749115619548350000,41219548
6025,1749115619581913000,41219581
6026,1749115619615279000,41219615
6027,1749115619648738000,41219648
6028,1749115619682259000,41219682
6029,1749115619715641000,41219715
6030,1749115619749140000,41219749
6031,1749115619782649000,41219782
6032,1749115619815829000,41219815
6033,1749115619849559000,41219849
6034,1749115619882899000,41219882
6035,1749115619916417000,41219916
6036,1749115619949993000,41219949
6037,1749115619983173000,41219983
6038,1749115620016774000,41220016
6039,1749115620050188000,41220050
6040,1749115620083652000,41220083
6041,1749115620117205000,41220117
6042,1749115620150394000,41220150
6043,1749115620184009000,41220184
6044,1749115620217419000,41220217
6045,1749115620250925000,41220250
6046,1749115620284373000,41220284
6047,1749115620317677000,41220317
6048,1749115620351268000,41220351
6049,1749115620384644000,41220384
6050,1749115620418159000,41220418
6051,1749115620451679000,41220451
6052,1749115620484912000,41220484
6053,1749115620518559000,41220518
6054,1749115620551918000,41220551
6055,1749115620585445000,41220585
6056,1749115620618893000,41220618
6057,1749115620652158000,41220652
6058,1749115620685811000,41220685
6059,1749115620719169000,41220719
6060,1749115620752743000,41220752
6061,1749115620786118000,41220786
6062,1749115620819499000,41220819
6063,1749115620853062000,41220853
6064,1749115620886407000,41220886
6065,1749115620919940000,41220919
6066,1749115620953394000,41220953
6067,1749115620986871000,41220986
6068,1749115621020292000,41221020
6069,1749115621053767000,41221053
6069,1749115621053767000,41221086
6070,1749115621120587000,41221120
6071,1749115621154087000,41221154
6072,1749115621187571000,41221187
6073,1749115621221086000,41221221
6074,1749115621254268000,41221254
6075,1749115621287989000,41221287
6076,1749115621321297000,41221321
6077,1749115621354807000,41221354
6078,1749115621388305000,41221388
6079,1749115621421576000,41221421
6080,1749115621455150000,41221455
6081,1749115621488558000,41221488
6082,1749115621522029000,41221522
6083,1749115621555634000,41221555
6084,1749115621588804000,41221588
6085,1749115621622444000,41221622
6086,1749115621655774000,41221655
6087,1749115621689347000,41221689
6088,1749115621722806000,41221722
6089,1749115621756028000,41221756
6090,1749115621789699000,41221789
6091,1749115621823058000,41221823
6092,1749115621856557000,41221856
6093,1749115621890093000,41221890
6094,1749115621923272000,41221923
6095,1749115621956942000,41221956
6096,1749115621990346000,41221990
6097,1749115622023832000,41222023
6098,1749115622057308000,41222057
6099,1749115622090568000,41222090
6100,1749115622124157000,41222124
6101,1749115622157612000,41222157
6102,1749115622191034000,41222191
6103,1749115622224588000,41222224
6104,1749115622257952000,41222257
6105,1749115622291407000,41222291
6106,1749115622324821000,41222324
6107,1749115622358281000,41222358
6108,1749115622391914000,41222391
6109,1749115622425168000,41222425
6110,1749115622458707000,41222458
6111,1749115622492232000,41222492
6112,1749115622525425000,41222525
6113,1749115622559102000,41222559
6114,1749115622592366000,41222592
6115,1749115622626079000,41222626
6116,1749115622659439000,41222659
6117,1749115622692703000,41222692
6118,1749115622726317000,41222726
6119,1749115622759787000,41222759
6120,1749115622793211000,41222793
6121,1749115622826681000,41222826
6122,1749115622860019000,41222860
6123,1749115622893598000,41222893
6124,1749115622926941000,41222926
6125,1749115622960480000,41222960
6126,1749115622993939000,41222993
6127,1749115623027169000,41223027
6128,1749115623060807000,41223060
6129,1749115623094193000,41223094
6130,1749115623127658000,41223127
6131,1749115623161244000,41223161
6132,1749115623194457000,41223194
6133,1749115623228045000,41223228
6134,1749115623261423000,41223261
6135,1749115623294983000,41223294
6136,1749115623328445000,41223328
6137,1749115623361767000,41223361
6138,1749115623395342000,41223395
6139,1749115623428778000,41223428
6140,1749115623462198000,41223462
6141,1749115623495814000,41223495
6142,1749115623529116000,41223529
6143,1749115623562687000,41223562
6144,1749115623595949000,41223595
6145,1749115623629455000,41223629
6146,1749115623663009000,41223663
6147,1749115623696390000,41223696
6148,1749115623729856000,41223729
6149,1749115623763331000,41223763
6150,1749115623796570000,41223796
6151,1749115623830281000,41223830
6152,1749115623863561000,41223863
6153,1749115623897153000,41223897
6154,1749115623930624000,41223930
6155,1749115623963880000,41223963
6156,1749115623997514000,41223997
6157,1749115624030942000,41224030
6158,1749115624064336000,41224064
6159,1749115624097943000,41224097
6160,1749115624131150000,41224131
6161,1749115624164788000,41224164
6162,1749115624198193000,41224198
6163,1749115624231750000,41224231
6164,1749115624265137000,41224265
6165,1749115624298389000,41224298
6166,1749115624331982000,41224331
6167,1749115624365363000,41224365
6168,1749115624398911000,41224398
6169,1749115624432399000,41224432
6170,1749115624465653000,41224465
6171,1749115624499269000,41224499
6172,1749115624532579000,41224532
6173,1749115624566211000,41224566
6174,1749115624599642000,41224599
6175,1749115624632856000,41224632
6176,1749115624666473000,41224666
6177,1749115624699880000,41224699
6178,1749115624733336000,41224733
6179,1749115624766877000,41224766
6180,1749115624800107000,41224800
6181,1749115624833792000,41224833
6182,1749115624867096000,41224867
6183,1749115624900616000,41224900
6184,1749115624934120000,41224934
6185,1749115624967490000,41224967
6186,1749115625000980000,41225000
6187,1749115625034375000,41225034
6188,1749115625067890000,41225067
6189,1749115625101402000,41225101
6190,1749115625134703000,41225134
6191,1749115625168253000,41225168
6192,1749115625201786000,41225201
6193,1749115625235032000,41225235
6194,1749115625268651000,41225268
6195,1749115625302072000,41225302
6196,1749115625335493000,41225335
6197,1749115625368979000,41225368
6198,1749115625402308000,41225402
6199,1749115625435894000,41225435
6200,1749115625469267000,41225469
6201,1749115625502726000,41225502
6202,1749115625536225000,41225536
6203,1749115625569487000,41225569
6204,1749115625603169000,41225603
6205,1749115625636494000,41225636
6206,1749115625669983000,41225669
6207,1749115625703503000,41225703
6208,1749115625736795000,41225736
6209,1749115625770389000,41225770
6210,1749115625803778000,41225803
6211,1749115625837222000,41225837
6212,1749115625870720000,41225870
6213,1749115625904009000,41225904
6214,1749115625937700000,41225937
6215,1749115625970955000,41225970
6216,1749115626004554000,41226004
